,time_period,roadmap_group,prediction
458,2020-11-01,C Series-27,6837.56599674126
459,2020-12-01,C Series-27,4294.2619772719
460,2021-01-01,C Series-27,4836.625277355283
461,2021-02-01,C Series-27,6116.91087637371
462,2021-03-01,C Series-27,6133.448002137517
463,2021-04-01,C Series-27,5428.104949400295
464,2021-05-01,C Series-27,5116.396548656852
465,2021-06-01,C Series-27,4249.268397059424
466,2021-07-01,C Series-27,4138.1676350851185
467,2021-08-01,C Series-27,4122.198867309437
468,2021-09-01,C Series-27,4437.862568561987
469,2021-10-01,C Series-27,5305.715565403903
470,2021-11-01,C Series-27,4710.297099012594
471,2018-11-01,Chrome AIO,
472,2018-12-01,Chrome AIO,
473,2019-01-01,Chrome AIO,
474,2019-02-01,Chrome AIO,
475,2019-03-01,Chrome AIO,
476,2019-04-01,Chrome AIO,
477,2019-05-01,Chrome AIO,
478,2019-06-01,Chrome AIO,
479,2019-07-01,Chrome AIO,
480,2019-08-01,Chrome AIO,
481,2019-09-01,Chrome AIO,
482,2019-10-01,Chrome AIO,
483,2019-11-01,Chrome AIO,1139.8971893824246
484,2019-12-01,Chrome AIO,1882.6170595500332
485,2020-01-01,Chrome AIO,2094.423898245227
486,2020-02-01,Chrome AIO,2738.7658266456747
487,2020-03-01,Chrome AIO,4979.01939794441
488,2020-04-01,Chrome AIO,6926.141423305242
489,2020-05-01,Chrome AIO,9953.982657580042
490,2020-06-01,Chrome AIO,8462.557158523077
491,2020-07-01,Chrome AIO,4079.9010810724317
492,2020-08-01,Chrome AIO,1116.4400407300484
493,2020-09-01,Chrome AIO,1282.956711618718
494,2020-10-01,Chrome AIO,260.5978852827461
495,2020-11-01,Chrome AIO,365.26158476999416
496,2020-12-01,Chrome AIO,231.10396642539237
497,2021-01-01,Chrome AIO,1425.8912468156852
498,2021-02-01,Chrome AIO,941.8373110254141
499,2021-03-01,Chrome AIO,394.85136403649017
500,2021-04-01,Chrome AIO,3027.455837195511
501,2021-05-01,Chrome AIO,1219.5493898474094
502,2021-06-01,Chrome AIO,1191.4870985470375
503,2021-07-01,Chrome AIO,1102.4860061452798
504,2021-08-01,Chrome AIO,569.0646959943186
505,2021-09-01,Chrome AIO,605.0361254121061
506,2021-10-01,Chrome AIO,310.73131823638147
507,2017-12-01,Chromebox,
508,2018-01-01,Chromebox,
509,2018-02-01,Chromebox,
510,2018-03-01,Chromebox,
511,2018-04-01,Chromebox,
512,2018-05-01,Chromebox,
513,2018-06-01,Chromebox,
514,2018-07-01,Chromebox,
515,2018-08-01,Chromebox,
516,2018-09-01,Chromebox,
517,2018-10-01,Chromebox,
518,2018-11-01,Chromebox,
519,2018-12-01,Chromebox,15313.840954116598
520,2019-01-01,Chromebox,6084.038865205044
521,2019-02-01,Chromebox,7533.070479314614
522,2019-03-01,Chromebox,7127.707251017176
523,2019-04-01,Chromebox,6660.662616786423
524,2019-05-01,Chromebox,4426.906702638389
525,2019-06-01,Chromebox,3896.730659445385
