,time_period,roadmap_group,prediction,Horizon
404,2019-08-01,C Series-23.8-Mainstream,7432.116081454139,1
405,2019-09-01,C Series-23.8-Mainstream,8940.912382262324,1
406,2019-10-01,C Series-23.8-Mainstream,4275.73662990024,1
407,2019-11-01,C Series-23.8-Mainstream,4731.191200536402,1
408,2019-12-01,C Series-23.8-Mainstream,7511.922470877624,1
409,2020-01-01,C Series-23.8-Mainstream,5940.320500707421,1
410,2020-02-01,C Series-23.8-Mainstream,3591.1288804626574,1
411,2020-03-01,C Series-23.8-Mainstream,6535.214220386519,1
412,2020-04-01,C Series-23.8-Mainstream,6269.467117961421,1
413,2020-05-01,C Series-23.8-Mainstream,6403.34621500238,1
414,2020-06-01,C Series-23.8-Mainstream,14049.670237466204,1
415,2020-07-01,C Series-23.8-Mainstream,3898.6636758793147,1
416,2020-08-01,C Series-23.8-Mainstream,6637.565972744062,1
417,2020-09-01,C Series-23.8-Mainstream,12348.437058092095,1
418,2020-10-01,C Series-23.8-Mainstream,13065.259347422894,1
419,2020-11-01,C Series-23.8-Mainstream,11836.92155621333,1
420,2020-12-01,C Series-23.8-Mainstream,14375.205264489992,1
421,2021-01-01,C Series-23.8-Mainstream,13465.982077453382,1
422,2021-02-01,C Series-23.8-Mainstream,14307.087362054916,1
423,2021-03-01,C Series-23.8-Mainstream,17298.755334067595,1
424,2021-04-01,C Series-23.8-Mainstream,14094.18555186503,1
425,2021-05-01,C Series-23.8-Mainstream,14482.036491553508,1
426,2021-06-01,C Series-23.8-Mainstream,19710.41812260989,1
427,2021-07-01,C Series-23.8-Mainstream,14852.55304360173,1
428,2021-08-01,C Series-23.8-Mainstream,13257.87320693333,1
429,2021-09-01,C Series-23.8-Mainstream,12802.842230786897,1
430,2021-10-01,C Series-23.8-Mainstream,9293.293103204294,1
431,2021-11-01,C Series-23.8-Mainstream,10826.914895409098,1
432,2018-09-01,C Series-27,,1
433,2018-10-01,C Series-27,,1
434,2018-11-01,C Series-27,,1
435,2018-12-01,C Series-27,,1
436,2019-01-01,C Series-27,,1
437,2019-02-01,C Series-27,,1
438,2019-03-01,C Series-27,,1
439,2019-04-01,C Series-27,,1
440,2019-05-01,C Series-27,,1
441,2019-06-01,C Series-27,,1
442,2019-07-01,C Series-27,,1
443,2019-08-01,C Series-27,,1
444,2019-09-01,C Series-27,1303.8358923142366,1
445,2019-10-01,C Series-27,1519.103074766973,1
446,2019-11-01,C Series-27,1358.7946980846718,1
447,2019-12-01,C Series-27,1104.7419512226504,1
448,2020-01-01,C Series-27,1340.7302821073936,1
449,2020-02-01,C Series-27,1700.429299460142,1
450,2020-03-01,C Series-27,2349.985285923287,1
451,2020-04-01,C Series-27,4762.434394491122,1
452,2020-05-01,C Series-27,3027.5372848037296,1
453,2020-06-01,C Series-27,5008.1260040099205,1
454,2020-07-01,C Series-27,5420.267007747714,1
455,2020-08-01,C Series-27,7023.649202644797,1
456,2020-09-01,C Series-27,7005.861597257575,1
457,2020-10-01,C Series-27,8913.361623310639,1
458,2020-11-01,C Series-27,6838.20001568882,1
459,2020-12-01,C Series-27,4299.388255016173,1
460,2021-01-01,C Series-27,4834.272914726462,1
461,2021-02-01,C Series-27,6046.596980892295,1
462,2021-03-01,C Series-27,6131.098776767361,1
463,2021-04-01,C Series-27,5428.924817709626,1
464,2021-05-01,C Series-27,5121.38605525337,1
465,2021-06-01,C Series-27,4259.365181826915,1
466,2021-07-01,C Series-27,4141.259046647074,1
467,2021-08-01,C Series-27,4126.396452070331,1
468,2021-09-01,C Series-27,4438.545040500126,1
469,2021-10-01,C Series-27,5308.628854715917,1
470,2021-11-01,C Series-27,4715.658223378971,1
471,2018-11-01,Chrome AIO,,1
472,2018-12-01,Chrome AIO,,1
473,2019-01-01,Chrome AIO,,1
474,2019-02-01,Chrome AIO,,1
475,2019-03-01,Chrome AIO,,1
476,2019-04-01,Chrome AIO,,1
477,2019-05-01,Chrome AIO,,1
478,2019-06-01,Chrome AIO,,1
479,2019-07-01,Chrome AIO,,1
480,2019-08-01,Chrome AIO,,1
481,2019-09-01,Chrome AIO,,1
482,2019-10-01,Chrome AIO,,1
483,2019-11-01,Chrome AIO,1138.4713876447945,1
484,2019-12-01,Chrome AIO,1874.964215301673,1
485,2020-01-01,Chrome AIO,2093.8635758380633,1
486,2020-02-01,Chrome AIO,2739.6604465887012,1
487,2020-03-01,Chrome AIO,4980.31137652572,1
488,2020-04-01,Chrome AIO,6924.49078150793,1
489,2020-05-01,Chrome AIO,9953.36848036975,1
490,2020-06-01,Chrome AIO,8464.158432004568,1
491,2020-07-01,Chrome AIO,4078.8966186094126,1
492,2020-08-01,Chrome AIO,1116.7926245611952,1
493,2020-09-01,Chrome AIO,1285.9286075557357,1
494,2020-10-01,Chrome AIO,355.32532119135124,1
495,2020-11-01,Chrome AIO,368.47827438679144,1
496,2020-12-01,Chrome AIO,230.8660666818401,1
497,2021-01-01,Chrome AIO,1427.0526669237577,1
498,2021-02-01,Chrome AIO,942.9657743833652,1
499,2021-03-01,Chrome AIO,393.9543887816254,1
500,2021-04-01,Chrome AIO,3020.411177401219,1
501,2021-05-01,Chrome AIO,1219.7121838805115,1
502,2021-06-01,Chrome AIO,1191.9227372561663,1
